Error of Modflow file
No,date,STORAGE_IN,CONSTANT_HEAD_IN,DRAINS_IN,RECHARGE_IN,TOTAL_IN,STORAGE_OUT,CONSTANT_HEAD_OUT,DRAINS_OUT,RECHARGE_OUT,TOTAL_OUT,IN-OUT,PERCENT_DISCREPANCY
    1, 01/06/1995,      71016376.00000,             0.00000,             0.00000,     344939456.00000,     415955840.00000,      -2063000.37500,            -0.00000,    -413888800.00000,            -0.00000,    -415951808.00000,          4032.00000,             0.00000
    1, 01/06/1995,      71019328.00000,             0.00000,             0.00000,     342977280.00000,     413996608.00000,      -1384765.50000,            -0.00000,    -413604096.00000,            -0.00000,    -414988864.00000,       -992256.00000,            -0.24000
    1, 01/06/1995,      70162184.00000,             0.00000,             0.00000,     343816352.00000,     413978528.00000,      -1457925.87500,            -0.00000,    -412521216.00000,            -0.00000,    -413979136.00000,          -608.00000,            -0.00000
    1, 01/06/1995,      68922976.00000,             0.00000,             0.00000,     344866016.00000,     413788992.00000,      -2505763.50000,            -0.00000,    -411283232.00000,            -0.00000,    -413788992.00000,             0.00000,             0.00000
    1, 01/06/1995,      69462392.00000,             0.00000,             0.00000,     341334112.00000,     410796512.00000,       -817539.37500,            -0.00000,    -409980864.00000,            -0.00000,    -410798400.00000,         -1888.00000,            -0.00000
    1, 01/06/1995,      67763912.00000,             0.00000,             0.00000,     342908864.00000,     410672768.00000,      -1388220.37500,            -0.00000,    -409275328.00000,            -0.00000,    -410663552.00000,          9216.00000,             0.00000
    1, 01/06/1995,      66934708.00000,             0.00000,             0.00000,     345667712.00000,     412602432.00000,      -2584799.50000,            -0.00000,    -410010112.00000,            -0.00000,    -412594912.00000,          7520.00000,             0.00000
    1, 01/06/1995,      67241464.00000,             0.00000,             0.00000,     341648608.00000,     408890080.00000,      -1215905.37500,            -0.00000,    -407667296.00000,            -0.00000,    -408883200.00000,          6880.00000,             0.00000
    1, 01/06/1995,      66176292.00000,             0.00000,             0.00000,     343346144.00000,     409522432.00000,       -996528.12500,            -0.00000,    -408517184.00000,            -0.00000,    -409513728.00000,          8704.00000,             0.00000
    1, 01/06/1995,      64769560.00000,             0.00000,             0.00000,     345222528.00000,     409992096.00000,      -2516428.00000,            -0.00000,    -415302816.00000,            -0.00000,    -417819232.00000,      -7827136.00000,            -1.89000
    1, 01/06/1995,      65365576.00000,             0.00000,             0.00000,     343093280.00000,     408458848.00000,      -1268400.50000,            -0.00000,    -407187072.00000,            -0.00000,    -408455488.00000,          3360.00000,             0.00000
    1, 01/06/1995,      64246008.00000,             0.00000,             0.00000,     342239488.00000,     406485504.00000,      -1273809.87500,            -0.00000,    -407889984.00000,            -0.00000,    -409163808.00000,      -2678304.00000,            -0.66000
    1, 01/06/1995,      63191436.00000,             0.00000,             0.00000,     344858432.00000,     408049856.00000,      -2063541.62500,            -0.00000,    -405986912.00000,            -0.00000,    -408050464.00000,          -608.00000,            -0.00000
    1, 01/06/1995,      63195372.00000,             0.00000,             0.00000,     343062432.00000,     406257792.00000,      -1335030.25000,            -0.00000,    -404922752.00000,            -0.00000,    -406257792.00000,             0.00000,             0.00000
    1, 01/06/1995,      62510984.00000,             0.00000,             0.00000,     344048480.00000,     406559456.00000,      -1438067.37500,            -0.00000,    -405240096.00000,            -0.00000,    -406678176.00000,       -118720.00000,            -0.03000
